DISPLAY NAME	CLASS NAME	CARGO BUCKET	SPAWN COMMAND
1. [TF20] Field/Jeans (MC/BLK)	121_Ghost_Field_MC_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Jeans (MC/BLK)	121_Ghost_Field_MC_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Jeans (MC/LHT)	121_Ghost_Field_MC_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Jeans (MC/LHT)	121_Ghost_Field_MC_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Field/Jeans (MC)	121_Ghost_Field_MC_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC)	121_Ghost_G3_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/BLK)	121_Ghost_G3_MC_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/BLK)	121_Ghost_G3_MC_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/GRY)	121_Ghost_G3_MC_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/GRY)	121_Ghost_G3_MC_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/KHK)	121_Ghost_G3_MC_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/KHK)	121_Ghost_G3_MC_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/MC)	121_Ghost_G3_MC_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/MC)	121_Ghost_G3_MC_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/RGR)	121_Ghost_G3_MC_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MC/RGR)	121_Ghost_G3_MC_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MC/Jeans)	121_Ghost_G3_MC_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MC/BLKJeans)	121_Ghost_G3_MC_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MC/BLKJeans)	121_Ghost_G3_MC_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MC/LHTJeans)	121_Ghost_G3_MC_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MC/LHTJeans)	121_Ghost_G3_MC_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MC/Jeans)	121_Ghost_G3_MC_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC/MCA)	121_Ghost_G3_MC_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC/MCA)	121_Ghost_G3_MC_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC/MCB)	121_Ghost_G3_MC_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC/MCB)	121_Ghost_G3_MC_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC/MCT)	121_Ghost_G3_MC_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC/MCT)	121_Ghost_G3_MC_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MC)	121_Ghost_G3_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA)	121_Ghost_G3_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/BLK)	121_Ghost_G3_MCA_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/BLK)	121_Ghost_G3_MCA_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/GRY)	121_Ghost_G3_MCA_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/GRY)	121_Ghost_G3_MCA_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/KHK)	121_Ghost_G3_MCA_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/KHK)	121_Ghost_G3_MCA_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/MC)	121_Ghost_G3_MCA_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/MC)	121_Ghost_G3_MCA_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/RGR)	121_Ghost_G3_MCA_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCA/RGR)	121_Ghost_G3_MCA_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCA/Jeans)	121_Ghost_G3_MCA_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCA/BLKJeans)	121_Ghost_G3_MCA_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCA/BLKJeans)	121_Ghost_G3_MCA_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCA/LHTJeans)	121_Ghost_G3_MCA_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCA/LHTJeans)	121_Ghost_G3_MCA_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCA/Jeans)	121_Ghost_G3_MCA_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MC)	121_Ghost_G3_MCA_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MC)	121_Ghost_G3_MCA_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MCB)	121_Ghost_G3_MCA_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MCB)	121_Ghost_G3_MCA_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MCT)	121_Ghost_G3_MCA_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MCT)	121_Ghost_G3_MCA_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA)	121_Ghost_G3_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB)	121_Ghost_G3_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/BLK)	121_Ghost_G3_MCB_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/BLK)	121_Ghost_G3_MCB_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/GRY)	121_Ghost_G3_MCB_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/GRY)	121_Ghost_G3_MCB_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/KHK)	121_Ghost_G3_MCB_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/KHK)	121_Ghost_G3_MCB_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/MC)	121_Ghost_G3_MCB_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/MC)	121_Ghost_G3_MCB_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/RGR)	121_Ghost_G3_MCB_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCB/RGR)	121_Ghost_G3_MCB_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCB/Jeans)	121_Ghost_G3_MCB_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCB/BLKJeans)	121_Ghost_G3_MCB_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCB/BLKJeans)	121_Ghost_G3_MCB_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCB/LHTJeans)	121_Ghost_G3_MCB_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCB/LHTJeans)	121_Ghost_G3_MCB_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCB/Jeans)	121_Ghost_G3_MCB_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB/MC)	121_Ghost_G3_MCB_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB/MC)	121_Ghost_G3_MCB_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB/MCA)	121_Ghost_G3_MCB_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB/MCA)	121_Ghost_G3_MCB_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB/MCT)	121_Ghost_G3_MCB_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB/MCT)	121_Ghost_G3_MCB_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCB)	121_Ghost_G3_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCT)	121_Ghost_G3_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/BLK)	121_Ghost_G3_MCT_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/BLK)	121_Ghost_G3_MCT_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/GRY)	121_Ghost_G3_MCT_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/GRY)	121_Ghost_G3_MCT_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/KHK)	121_Ghost_G3_MCT_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/KHK)	121_Ghost_G3_MCT_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/MC)	121_Ghost_G3_MCT_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/MC)	121_Ghost_G3_MCT_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/RGR)	121_Ghost_G3_MCT_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Cargo (MCT/RGR)	121_Ghost_G3_MCT_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCT/Jeans)	121_Ghost_G3_MCT_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCT/BLKJeans)	121_Ghost_G3_MCT_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCT/BLKJeans)	121_Ghost_G3_MCT_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCT/LHTJeans)	121_Ghost_G3_MCT_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCT/LHTJeans)	121_Ghost_G3_MCT_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Jeans (MCT/Jeans)	121_Ghost_G3_MCT_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCT/MC)	121_Ghost_G3_MCT_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCT/MC)	121_Ghost_G3_MCT_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MCA)	121_Ghost_G3_MCT_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCA/MCA)	121_Ghost_G3_MCT_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCT/MCB)	121_Ghost_G3_MCT_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCT/MCB)	121_Ghost_G3_MCT_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3 (MCT)	121_Ghost_G3_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/BLK)	121_Ghost_Parka_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/BLK)	121_Ghost_Parka_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/GRY)	121_Ghost_Parka_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/GRY)	121_Ghost_Parka_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/KHK)	121_Ghost_Parka_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/KHK)	121_Ghost_Parka_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/MC)	121_Ghost_Parka_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/MC)	121_Ghost_Parka_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/RGR)	121_Ghost_Parka_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Cargo (MC/RGR)	121_Ghost_Parka_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MC)	121_Ghost_Parka_G3_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MC)	121_Ghost_Parka_G3_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MCA)	121_Ghost_Parka_G3_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MCA)	121_Ghost_Parka_G3_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MCB)	121_Ghost_Parka_G3_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MCB)	121_Ghost_Parka_G3_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MCT)	121_Ghost_Parka_G3_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] G3/Parka (MC/MCT)	121_Ghost_Parka_G3_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Jeans (MC/Jeans)	121_Ghost_Parka_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Jeans (MC/BLKJeans)	121_Ghost_Parka_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Jeans (MC/BLKJeans)	121_Ghost_Parka_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Jeans (MC/LHTJeans)	121_Ghost_Parka_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Jeans (MC/LHTJeans)	121_Ghost_Parka_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] Parka/Jeans (MC/Jeans)	121_Ghost_Parka_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/BLK)	121_Ghost_PCU_BLK_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/BLK)	121_Ghost_PCU_BLK_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/GRY)	121_Ghost_PCU_BLK_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/GRY)	121_Ghost_PCU_BLK_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/KHK)	121_Ghost_PCU_BLK_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/KHK)	121_Ghost_PCU_BLK_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/MC)	121_Ghost_PCU_BLK_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/MC)	121_Ghost_PCU_BLK_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/RGR)	121_Ghost_PCU_BLK_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (BLK/RGR)	121_Ghost_PCU_BLK_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MC)	121_Ghost_PCU_BLK_G3_MC_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MC)	121_Ghost_PCU_BLK_G3_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MCA)	121_Ghost_PCU_BLK_G3_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MCA)	121_Ghost_PCU_BLK_G3_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MCB)	121_Ghost_PCU_BLK_G3_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MCB)	121_Ghost_PCU_BLK_G3_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MCT)	121_Ghost_PCU_BLK_G3_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] G3/PCU (BLK/MCT)	121_Ghost_PCU_BLK_G3_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (BLK/Jeans)	121_Ghost_PCU_BLK_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (BLK/BLKJeans)	121_Ghost_PCU_BLK_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (BLK/BLKJeans)	121_Ghost_PCU_BLK_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (BLK/LHTJeans)	121_Ghost_PCU_BLK_Jeans_Light_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (BLK/LHTJeans)	121_Ghost_PCU_BLK_Jeans_Light_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (BLK/Jeans)	121_Ghost_PCU_BLK_Jeans_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/BLK)	121_Ghost_PCU_MC_Cargo_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/BLK)	121_Ghost_PCU_MC_Cargo_BLK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/GRY)	121_Ghost_PCU_MC_Cargo_GRY_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/GRY)	121_Ghost_PCU_MC_Cargo_GRY_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/KHK)	121_Ghost_PCU_MC_Cargo_KHK_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/KHK)	121_Ghost_PCU_MC_Cargo_KHK_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC)	121_Ghost_PCU_MC_Cargo_MC_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC)	121_Ghost_PCU_MC_Cargo_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/RGR)	121_Ghost_PCU_MC_Cargo_RGR_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Cargo (MC/RGR)	121_Ghost_PCU_MC_Cargo_RGR_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MC)	121_Ghost_PCU_MC_G3_MC_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MC)	121_Ghost_PCU_MC_G3_MC_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MCA)	121_Ghost_PCU_MC_G3_MCA_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MCA)	121_Ghost_PCU_MC_G3_MCA_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MCB)	121_Ghost_PCU_MC_G3_MCB_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MCB)	121_Ghost_PCU_MC_G3_MCB_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MCT)	121_Ghost_PCU_MC_G3_MCT_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/G3 (MC/MCT)	121_Ghost_PCU_MC_G3_MCT_NG_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (MC/Jeans)	121_Ghost_PCU_MC_Jeans_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (MC/BLKJeans)	121_Ghost_PCU_MC_Jeans_BLK_1	ITEM	addItemCargoGlobal
1. [TF20] PCU/Jeans (MC/BLKJeans)	121_Ghost_PCU_MC_Jeans_BLK_NG_1	ITEM	addItemCargoGlobal
